STARTDATE,MARS_PRD,MARS_YRPD,YRPRD_STARTDT
2022-09-11,P10,2022 P10,202210
2022-09-13,P10,2022 P10,202210
2022-09-15,P10,2022 P10,202210
2022-09-16,P10,2022 P10,202210
2022-09-18,P10,2022 P10,202210
2022-09-19,P10,2022 P10,202210
2022-09-21,P10,2022 P10,202210
2022-09-22,P10,2022 P10,202210
2022-09-24,P10,2022 P10,202210
2022-09-25,P10,2022 P10,202210
2022-09-27,P10,2022 P10,202210
2022-09-29,P10,2022 P10,202210
2022-09-30,P10,2022 P10,202210
2022-10-01,P10,2022 P10,202210
2022-10-04,P10,2022 P10,202210
2022-10-05,P10,2022 P10,202210
2022-10-06,P10,2022 P10,202210
2022-10-07,P10,2022 P10,202210
2022-10-08,P10,2022 P10,202210
2022-09-14,P10,2022 P10,202210
2022-09-26,P10,2022 P10,202210
2022-10-02,P10,2022 P10,202210
2022-09-20,P10,2022 P10,202210
2022-09-12,P10,2022 P10,202210
2022-09-17,P10,2022 P10,202210
2022-09-23,P10,2022 P10,202210
2022-09-28,P10,2022 P10,202210
2022-10-03,P10,2022 P10,202210
